file,code,offset,before_after_hex
kigyo3.dat,1308,872411,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo3.dat,1308,883612,02 00 00 31 02 00 00 BE 00 00 00 8C 5C 8F C2 A5 62 00 00 00 00 00 00 06 31 33 30 38 30 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 36 31 32 00 00 00 CE 1A
kigyo3.dat,1308,889772,00 00 00 00 09 00 00 D8 03 00 00 88 1F 85 EB 51 2E 00 00 00 00 00 00 06 31 33 30 38 30 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 31 32 00 00 00 C1 58
kigyo3.dat,1308,903742,01 00 00 2B 01 00 00 85 00 00 00 8C B8 1E 85 53 2A 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 31 32 00 00 00 EE 4F
kigyo3.dat,1308,940556,00 00 00 00 06 31 31 30 37 31 34 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 E4 19 00 00 8E 02 00 00 9A 02 00 00 1D 01 00 00 8D AE 47 E1 7C
kigyo3.dat,1308,948182,02 00 00 3B 02 00 00 9F 00 00 00 85 9A 99 99 99 75 00 00 00 00 00 00 06 31 33 30 38 31 32 00 00 00 00 00 00 00 00 00 00 00 00 04 31 38 30 39 00 00 00 D7 10
kigyo3.dat,1308,948586,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 E7 46 00 00 C0 0A 00 00 FC 0A 00 00 C1 05 00 00 88 7B 14 AE 07
kigyo3.dat,1001,170042,F6 FF FF E0 F6 FF FF 4C F4 FF FF 8F 7B 14 2E 7A F5 00 00 00 00 00 00 06 31 30 30 31 32 35 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 3C 0A
kigyo3.dat,1001,296709,00 F3 47 00 00 CE 26 00 00 86 B8 1E 85 EB 1F 00 00 00 00 00 00 06 31 35 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 31 31 00 00 00 71 54 03 00
kigyo3.dat,1001,925596,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 6E 1A 00 00 1D 00 00 00 1A 00 00 00 03 00 00 00 89 F6 28 5C AF
kigyo3.dat,1001,1037064,00 79 02 00 00 C3 01 00 00 86 00 00 00 00 7A 00 00 00 00 00 00 06 31 35 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 04 32 31 30 32 00 00 00 00 00 00 00
kigyo3.dat,1001,1086966,00 00 00 00 06 31 30 31 32 31 30 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 E6 2B 00 00 54 01 00 00 70 01 00 00 4E 00 00 00 83 C3 F5 28 5C
kigyo3.dat,1001,1123926,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 F0 1B 00 00 F0 00 00 00 FA 00 00 00 D7 FF FF FF 84 52 B8 1E 85
kigyo3.dat,1001,1344404,00 6F 6E 00 00 FA 5E 00 00 87 33 33 33 B3 0B 00 00 00 00 00 00 06 31 36 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 04 31 36 30 39 00 00 00 B4 14 00 00
