file,offset,length,encoding,text,context_hex
kigyo.dat,4941,11,cp932,ﾉ覧m　　　@,AD 82 DD 81 42 1C 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 20
kigyo.dat,4996,6,cp932,070201,44 05 00 00 00 00 00 06 30 37 30 32 30 31 88 00 00 00 00 11 00 00
kigyo.dat,5051,4,cp932,1103,1B 00 00 00 00 00 00 04 31 31 30 33 00 00 00 29 42 02 00 20
kigyo.dat,5106,4,cp932,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 69 87 02 00 11
kigyo.dat,5129,6,cp932,οﾌﾌﾌL,59 07 00 00 A0 02 00 00 83 CD CC CC CC 4C 83 00 00 00 00 20 00 00
kigyo.dat,5161,4,cp932,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 62 73 02 00 DE
kigyo.dat,5185,5,cp932,)\渉u,05 00 00 26 03 00 00 83 29 5C 8F C2 75 83 00 00 00 00 20 00 00
kigyo.dat,5216,4,cp932,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 1A EE 02 00 A7
kigyo.dat,5271,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,5326,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 01 00 00 00 00 00 00
kigyo.dat,5381,4,cp932,1103,00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 AB 7B 02 00 34
kigyo.dat,5405,4,cp932,ﾍﾌﾌﾌ,06 00 00 3A 00 00 00 80 CD CC CC CC 0C 00 00 00 00 00 00 06
kigyo.dat,5417,6,cp932,110805,0C 00 00 00 00 00 00 06 31 31 30 38 30 35 00 00 00 00 00 00 00 00
kigyo.dat,5436,4,cp932,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 7D C6 02 00 64
kigyo.dat,5472,6,cp932,130206,00 00 00 00 00 00 00 06 31 33 30 32 30 36 00 00 00 00 00 00 00 00
kigyo.dat,5491,4,cp932,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 7E B7 02 00 14
kigyo.dat,5527,6,cp932,140205,41 00 00 00 00 00 00 06 31 34 30 32 30 35 00 00 00 00 00 00 00 00
kigyo.dat,5546,4,cp932,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 93 16 03 00 63
kigyo.dat,5582,6,cp932,2014/0,62 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,5601,4,cp932,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 C8 20 03 00 74
kigyo.dat,5637,6,cp932,2014/0,00 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,5656,4,cp932,1003,00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 00 00 00 00 00
kigyo.dat,113,4,shift_jis,9303,00 00 00 00 00 00 00 04 39 33 30 33 00 00 00 00 00 00 00 00
kigyo.dat,168,4,shift_jis,9403,00 00 00 00 00 00 00 04 39 34 30 33 00 00 00 00 00 00 00 00
kigyo.dat,223,4,shift_jis,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,278,4,shift_jis,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,333,4,shift_jis,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,388,4,shift_jis,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,443,4,shift_jis,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,498,4,shift_jis,9603,00 00 00 00 00 00 00 04 39 36 30 33 00 00 00 00 00 00 00 00
kigyo.dat,553,4,shift_jis,9703,00 00 00 00 00 00 00 04 39 37 30 33 00 00 00 00 00 00 00 00
kigyo.dat,608,4,shift_jis,9509,00 00 00 00 00 00 00 04 39 35 30 39 00 00 00 00 00 00 00 00
kigyo.dat,663,4,shift_jis,9609,00 00 00 00 00 00 00 04 39 36 30 39 00 00 00 00 00 00 00 00
kigyo.dat,718,4,shift_jis,9709,00 00 00 00 00 00 00 04 39 37 30 39 00 00 00 00 00 00 00 00
kigyo.dat,936,4,shift_jis,9303,00 00 00 00 00 00 00 04 39 33 30 33 00 00 00 00 00 00 00 00
kigyo.dat,991,4,shift_jis,9403,00 00 00 00 00 00 00 04 39 34 30 33 00 00 00 00 00 00 00 00
kigyo.dat,1046,4,shift_jis,9503,00 00 00 00 00 00 00 04 39 35 30 33 00 00 00 00 00 00 00 00
